sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
فاطمه,۵,مثل همیشه خوشمزه بود,پیتزا چهارفصل (ایتالیایی)
یاسر,۳,غذا سرد به دستم رسید,پیتزا آفریکانا (آمریکایی)
نسیم,۲,با یک ساعت تاخیر اومد تقریبا دو ساعت طول کشید تا رسید,پیتزا بیف گورمه (ایتالیایی)
مریم,۵,خوشمزه، لذیذ....عالی,پیتزا میکس (آمریکایی)
مریم,۱,"اصلا هیچ شباهتی به پیتزا نداره 
همه پیتزا روی هم و گوشه جعبه جمع شده",پیتزا بیف گورمه (ایتالیایی)
مونا,۵,همیشه به موقع همیشه با غذای گرم عالیه,پیتزا پپرونی (ایتالیایی)
حسین,۴,مثل همیشه سیب۳۶۰ خوب و عالیه ولی نسبت به قبل کیفیت پیتزاها کمی افت کرده ولی همچنان خوبه,پیتزا چیکن گورمه (ایتالیایی)
علیرضا,۵,کیفیت سفارش تحویل شده عالی بود و خدمات و پاسخگویی بی‌نظیری از طرف شعبه مرکزی و مجیدیه رستوران دریافت کردم.,چیز برگر
دانیال,۴,"تحویل دیر انجام شد بیش از یک ساعت و نیم طول کشید.
کمی سرد شده بود.",پیتزا میکس (آمریکایی)
sara,۱,"پیتزا خیلی بدمزه بود.. سیب زمینی با پنیر سفارش داده بودم که ساده ارسال شده بود
در کل دیگه سفارش نمیدم",پیتزا چانو (ایتالیایی)
زهرا,۵,مثل همیشه عالی بود,ساندویچ سوچیک
امیر,۱,کاملا سرد غذا به دستم رسید و کیفیتش نسبت به شعبه های دیگه سیب و حتی فست فودای معمولی خیلی پایین تر بود. اولین بار بود که سفارش دادم و البته آخرین بار,نوشابه قوطی کوکا کولا
سید محمد,۵,برخورد پیک عالی بود,پیتزا پپرونی (ایتالیایی)
محمدحسن,۵,مثل قبل هم به موقع رسید هم لذیذ بود,نوشابه قوطی اسپرایت
نسا,۵,خوب بود ممنون,پیتزا بیکن (ایتالیایی)
h,۵,"با سلام
باکیفیت ،بموقع و کاملا بهداشتی",ماشروم برگر
پارسا,۱,غذا یخ بود,چیز برگر
سویل,۱,تاخیر سه ساعتها در تحویل!!!!!,پیتزا کالزون (آمریکایی)
کیانی,۱,"غذا تقریبا با دو ساعت تاخیر به دستم رسید 
چیزی شبیه سنگ ( سخت و سیاه) از همبرگر پیدا شد.",ماشروم برگر
شمیم,۳,بعد از دو ساعت که غذای سرد و یخ زده تحویل دادن!,پیتزا بیکن (ایتالیایی)
رومینا,۵,"پیتزا عالی ، تازه ، تو دهن آب میشد
خلاصه خوشمزززززه بود، ممنونم",پیتزا میکس (آمریکایی)
پدرام,,"با اینکه زیاد از سیب مجیدیه خوشم نمی‌آمد ولی پپرونیش خوب بود
تحویلش هم خوب و به موقع بود",سیب زمینی
علیرضا,۵,خیلی خوبه,چیز برگر
نسترن,۵,قشنگ داغ بود، خوشمزه هم بود و سریعم رسید,پیتزا پپرونی (ایتالیایی)
فرخ لقا,۵,خوشمزه ، داغ و به موقع رسید. مامور پیک هم ماسک داشت . ولی هزینه ارسال خیلی زیاده با اینکه مسیر کوتاه هست. هیچ وقت مثل رستورانهای دیگر تخفیف ۱۰درصدی نداره‌ این باعث می شود که از رستوران بهتر با درجه امتیاز بالاتر که مدام تخفیف ۱۰ درصدی رل اعمال می کند را ترجیح بدم. این آخرین سفارش خانواده ما از سیب ۳۶۰ بود,پیتزا سوپریم (ایتالیایی)
محمد,۵,خوب بود. متشکرم,پیتزا چهارفصل (ایتالیایی)
Marzie,۵,عاااااالي,اسموکی برگر
نیکتا,۴,کیفیت غذا خوب بود، ولی خیلی سرد بدستم رسید.,پیتزا توکیو (آمریکایی)
سعیده,۵,عالی,پیتزا پپرونی (ایتالیایی)
فاطمه سادات,۵,عالی درجه یک,پیتزا میکس کالزون (آمریکایی)
آرزو,۴,بر خلاف یک ساعتی که جهت ارسال اعلام شده بود یک ربع غذا رسید و گرم و تازه بود، ممنون,پیتزا پپرونی (آمریکایی)
فاطمه,۵,جدی فکر نمی‌کردم کیفیتش اینقدر خوب باشه. ولی عالی بود. ممنونم,پیتزا چیکن گورمه (ایتالیایی)
آتنا,۴,دیر و سرد بدستم رسید اما باکیفیت بود,پیکو کمبو
پویان,۳,کاملا سرد شده بود,پیتزا میکس (آمریکایی)
زهرا,۴,به نظر پیتزا چپ شده بود.,پیتزا چهارفصل (ایتالیایی)
شیوا,۵,خیلی خوب بود,پیتزا چیکن گورمه (ایتالیایی)
Sanaz,۱,خمیر پیتزا بیکن کاملا خمیر بود و به پخت کامل نرسیده بود:/,پیتزا بیکن (ایتالیایی)
مهشید,۱,غذای سرد,پیتزا چیکن گورمه (ایتالیایی)
نیلوفر,۳,کیفیت پایین و طعم پیتزا اصلا خوب نبود,پیتزا چیکن گورمه (ایتالیایی)
سینا,۵,معرکه و بینظیر بود,پیتزا آپاچینو (آمریکایی)
سمانه,۳,غذا سرد تحویل شد و حجم غذا به نسبت قیمت واقعا کم بود,پیتزا پپرونی (ایتالیایی)
آرزو,۵,فوق العاده بود,پیتزا چانو (ایتالیایی)
دانیال,۴,غذا سرد بود و حجم کم داشت ولی از نظر مزه عالی بود,پیتزا پپرونی (آمریکایی)
بانو,۲,غذا بسیار سرد رسید به دستم,هالوپینو برگر
علی,۵,بسیار عالی,پیتزا چهارفصل (ایتالیایی)
نيما,۵,مثل همیشه کیفیت خیلی عالی بود واقعاً خوب بود فقط از دفعه های قبل سس پنیر کمتری ریخته بودن شاید بتونم بگم کلا ۵ قطره سس پنیر بود ولی بازم عالی بود,سوپر برگر (پرسی)
نرگس,۴,در کل خوب بود اما ساندویچ انسجام لازم رو نداشت و وارفته بود..,ساندویچ هات داگ ویژه
مجيد,۱,غذاها سرد، نوشیدنی‌ها گرم و با دو بار تاخیر بدستم رسید.,ماشروم برگر
متینه,۴,همبرگر فرانسوی پرسی واقعا خوشمزه بود.,سوپر برگر (پرسی)
بهنام,۳,"ادویه خیلی زیادی در پیتزا وجود داشت. ظاهرا برای پوشاندن کیفیت پایین از ادویه زیاد استفاده میشود.
با کمال تشکر از اسنپ فود که به نظرات مشتری احترام می گذارد.",پیتزا گوشت و قارچ (آمریکایی)
الهام,۵,خیلی خوشمزه ولی سرد بود,ساندویچ رست بیف
روح اله,۵,در کل همه چیز خوب بود,پیتزا توکیو (آمریکایی)
حامد,۲,سرد بود از دهن افتاده بود ديگه.,پیتزا چهارفصل (ایتالیایی)
ایلیا,۱,"باز هم نوشته بودم بدون قارچ باشه اما با قارچ فرستادید
دیگه از سیب خرید نمیکنم",نوشابه قوطی کوکا کولا
جواد,۱,غذا بسیییییییار سرد و از دهن افتاده بود با وجود فاصله کمی که داشتیم ۱ساعتو خورده ای طول کشید تا به دستمان برسد این آخرین باری بود که از این فست فود سفارش دادم,پیتزا گوشت و قارچ (آمریکایی)
آرش,۵,بسیار عالی و پیک بسیار خوش برخورد,پیتزا چهارفصل (ایتالیایی)
ساينا,۲,غذا سرد بود و پنیر سیب زمینی ش خیلی کم بود,پیتزا چانو (ایتالیایی)
محسن,۵,"سلام 
با تشکر از سیب کیفیت غذا خیلی خوب بود من راضی بودم 
حتی نون ها و ... خمیر نبود 
اسنپ فود هم غذا رو حتی زودتر از موعد و گرم و سالم رسوند 
ممنون از اسنپ",سوپر برگر (پرسی)
.,۳,نکته منفی سرد و نرم شدن بیش از حد سیب زمینی بود,پیتزا چهارفصل (ایتالیایی)
صادق,۲,غذا سرد رسید,پیتزا بیکن (ایتالیایی)
جواد,۵,عالی و خوشمزه خیلی زود و داغ هم رسید ممنون از شما,سوپر برگر (پرسی)
گوهر,۵,عالی,سیب زمینی
Haniyeh,۵,همه چیز عالی بود هم غذا به موقع رسید هم کیفیت عالی بود,استرامبولی استرامیت
امیرحسن,۵,دست شمادردنکنه ممنون,ساندویچ هات داگ ویژه
سید مهدی,۳,"از لحاظ بسته بندی و ظاهر خیلی خوب بود ولی طعم خوبی نداشت
 خیلی ادویه زده بودن که طعم اصلی مواد از بین رفته بود",پیتزا گوشت و قارچ (آمریکایی)
جلال,۱,"واقعا از برند سیب همچین انتظاری نداشتم مخصوصا درباره سیب ویژه 
واقعا واقعا ضعیف رو به خیلی بد بود",گلدن
هانیه,۴,یه پیتزا یک ساعت و ربع طول کشید تا رسید و وقتی رسید کاملا سرد بود و لازم بود دوباره گرم شه.,پیتزا آپاچینو (آمریکایی)
مهدی,۴,غذا سرد بود باتوجه به نزدیکی رستوران,پیتزا پپرونی (ایتالیایی)
مهرداد,۵,مثل همیشه عالی بود,پیتزا چهارفصل (ایتالیایی)
حمیده,۱,قارچ و پنیر اش دوباره داغ شده بود و اصلا تازه نبود,ساندویچ مرغ ویژه
حمید,۵,خيلي عالي بود,اسموکی برگر
رها,۴,"سفارش خیلی زود و غذا گرم رسید,خوشمزه هم بود ممنون",اکو کمبو یک
غزاله,۵,به موقع اومد و خوب بود,پیتزا چانو (ایتالیایی)
اتنا,۲,سیب زمینی تحویل نشد و پیتزا بسیار سرد بود.کیفیت پیتزا پایین بود,پیتزا چانو (ایتالیایی)
سروش,۱,"بدترین پیتزا چانو که تاحالا خوردم.....
گوشت نیمه پخته‌.....
بوی بد گوشت که دیگه بد از بدتر.....",پیتزا چانو (ایتالیایی)
Mohamad,۵,بسیار عالی,پیتزا چانو (ایتالیایی)
منصوره,۳,کیفیت پیتزا عالیه اما این بار دیر رسید و کاملا سرد بود، خودتونم میدونید که پیتزای سرد چه مزه ای داره! تمام ذوق خوردن پیتزا در یک روز تعطیل کرونایی  از بین رفت!!!! البته امیدوارم این مسئله رسیدگی بشه و همونطوری که ما به شما اعتماد کردیم و از بین اینهمه فست فود شمارو انتخاب کردیم، در مقابل شما هم برای مشتریاتون ارزش قائل بشید و با ارسال به موقع و گرم به اعتمادشون جواب مثبت بدید...,پیتزا چیکن گورمه (ایتالیایی)
