"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"مهدی پورجعفر","۳","کیفیت مرغ سوخاریش خوب نبود و اینکه دو تکه فرستاده بودن به جای سه تیکه ولی استرامبولیش خوب بود","چیکن استریپس"
"مرضیه  کلانتری","۵","نسبت به قیمت حجم غذا کمه . خصوصا اینکه هزینه مالیات و بسته بندی هم داره که باعث میشه به نسبت پولی که میدیم غذا دریافت نمی‌کنیم .","آلفردو چیز فرایز"
"حانيه ميرمحسني","۵","غذا همیشه گرمه","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"کسری فزونی","۴","برای اولین بار نمیدونم چرا برگرتون رسماً بدمزه بود","فرش چیز برگر"
"نوید اندرودی","۵","کیفیت عالی و تحویل سریع","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"معصومه غلامی الانکش","۲","چند ورقه نازک مرغ و کمی پنیر پیتزا و دیگر هیچ، ۳۰ هزار تومن مالیات به فاکتور اضافه شد که من بعد از پرداخت متوجه شدم، اصلا پیشنهاد نمیکنم","سیب زمینی سرخ شده ساده"
"محسن یوسفی","۱","سلام و خسته نباشید خدمت مجموعه شیلا 
نمی‌دونم چرا پیتزا سفارش میدیم.کاغذ سفید زیر پیتزا همیشه مرطوب هست و بالا خمیر شدن پیتزا میشه 
جای تاسف داره. 
حداقل به مشتری کمی احترام بذارید","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"رومینا کهربی","۵","مشتری ثابتتون بودم ولی این سری اصلا راضی نبودم!!!!!","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مرجانه کاوسی","۵","برخورد بسیار محترمانه ای با ما داشتن و سعی کردن بهترین کیفیت رو به دست ما برسونن","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"Ali akbar  Tarazandeh","۵","عالی بود کیفیت بالا","استرامبولی دونر استیک پنیری"
"شیدا میری نژاد","۵","خیلی گرم و سریع به دستمون رسید مزه هم عالی، ممنون شیلا","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"پگاه کرمانی","۵","با درود و احترام
پیتزا کمی خشک‌ بود شاید به دلیل حرارت بالای فر و شایدبواسطه محتویات خود پیتزا و استفاده از پنیر پیتزای(پنیر موزارلا) ضعیف
توپک سیب زمینی بهتر است طعم سبزیجات قویتری داشته باشد","فینگر کریسپی"
"مهدی ترکمن‌نژاد","۱","از شعبه‌های دیگه کیفیتش کمتره","ساندویچ کراکف"
"مریم قاسم زاده","۲","سلام همبرگرش خیلی بو میداد؟ نتونستیم بخوریم!","سیب زمینی سرخ شده ساده"
"فرزاد رضایی","۵","مثل همیشه با کیفیت و برخورد پیک هم عالی","ساندویچ هات داگ رست بیف"
"سویل سپهرآذری","۵","عالی بودددد","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"آذر شبر","۵","مثل همیشه عالی بود","استرامبولی دونر استیک پنیری"
"زهرا كعبي پور","۵","سلام وقتتون بخیر خیلی ممنونم خیلی عالی بود غذا بسیار باکیفیت بود و گرم به دستمون رسید با بسته بندی عالی پر روزی باشید","پیتزا مرغ (۳۰ سانتی‌ متری)"
"تینا آهنین جان","۵","زود و گرم به دستمون رسید
مثل همیشه خوشمزه و عالی بود","پیتزا مرغ و اسفناج اسپینا چیکن (۳۰ سانتی متری)"
"امین سلیمی","۵","کیفیت غذاشون خوبه","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"محمد علی خالقی نژاد","۵","راضی بودم.","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"محمد حسین توکلی","۵","مثل همیشه عالی بود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"جلیل روحانی","۵","پیتزا خوشمزه با مواد تازه و  کیفیت خوب ... مثل همیشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"حمیدرضا  صحرایی","۵","عالی بود اولین تجربه از رستوران و تست غذاش بی نظیر بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"نازنین بابایی","۵","خیلی خوشمزه بود، دوست داشتم، بازم سفارش میدم","چیکن کریسپی"
"عليرضا زاهدي","۵","خیلی عالی و دلچسب بود، ممنون از رستوران شیلا","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"داود شهریاری","۵","واقعا عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"سیدحامد سیف","۵","خیلی خوش مزه و با کیفیت عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"الهه سودمند","۵","تحویل سریع و کیفیت و بسته بندی عالی. ممنون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"مرتضی خدابخش","۵","کیفیت خوبی داشت پیتزای مرغ و اسفناجش رو حتما پیشنهاد می کنم","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"ستاره رضایی","۵","شیلا همیشه غذاهاش خوشمزه ست فقط یکم پیتزا سرد شده بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"شهاب بني جمالي","۵","واقعا عالی بود کاملا به توضیحات هم‌توجه شده بود","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"پرهام  حسین پور اقدم","۵","شیلا عالیه کلا","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"وحید م.ت","۵","پیتزا پپرونی بشدت باکیفیت و خوش طعم","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"خسرو زارع","۵","از همه نظر عالی، فقط کاش سس رو هم ب منو اضافه کنید","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"Adrik Avedisians","۵","از هر نظر عالی مثل همیشه،تمام شعباتش هم باکیفیت و عالی هستند اما اگر قیمت کمی پایینتر باشه یا تخفیف بزنن عالی میشه. تشکر","سالاد سزار با مرغ گریل"
"ساناز فارسی","۵","کیفیت و طعم عالی بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مریم شاندرمنی","۵","بسیار راضی هستیم ممنونم امیدوارم همین روند رو به بهتر ادامه پیدا کنه","پیتزا کویین (۲۳ سانتی‌ متری)"
"ali sameni","۵","خیلی گرم بود و به موقع رسید. برخورد پیک عالی بود و داخل کیف مخصوص گذاشته بودند غذارو که گرم بمونه. پیشنهاد میکنم تست کنید ارزش داره","فینگر کریسپی"
"علی حبیبی","۵","خیلی عالی بود، غذا گرم و بسیار خوشمزه بدستم رسید.","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"پگاه  کریمی","۵","عالی و خوشمزه و داغ بود و خیلی سریع دلیور شد","پیتزا فیتکس گوشت و قارچ ۲۳*۱۰ سانتی متری"
"آیلین قورچیان","۵","واقعا خوشمزه تازه و سریع ارسال میشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"زهرا محمدی پاک","۵","چیکن استراگانف بسیار خوشمزه ای دارن. مابقی غذاها هم خیلی خوب بود","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"سميه يگانه","۵","ممنونم که به توضیحات توجه کردید و سریع و گرم بدستم رسید","فرش ماشروم برگر"
"فرشید امینی","۵","عالی بود","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"محمدصادق کاشی پز","۵","واقعا خوشمزه بود","کمبو شیلا"
"سارا غضنفري","۵","بسیار عالی بود","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مرتضی کیا","۵","غذا بسیار لذیذ و با کیفیت بود و در مدت کوتاهی بدستم رسید.","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"بهمن نوروزی شیخی","۵","ممنون بابت غذای خوشمزتون","پیتزا فیتکس گوشت و قارچ ۲۳*۱۰ سانتی متری"
"اکرم سرحدی","۵","خیلی خوب بود،هم بسته بندی و هم طعم پیتزا","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"مونا روشَنا","۵","شیلا جون خیلی خفنی .... سرعت عملت مثال زدنیه.","پیتزا هات چیکن (۳۰ سانتی متری)"
"همتا دهقان","۵","وقتی سفارش دستم رسید گرم بود کیفیت غذا هم عالی بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"گلسا غفاری","۵","عالی بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"انوشا  بوذری","۵","ممنون مثل همیشه خوب و با کیفیت","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"پروا غفوری","۵","عالی مثل همیشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"اسماعیل زاهدی","۵","خیلی عالی و خوشمزه","نوشابه قوطی کوکا کولا"
"مجید آذری","۵","طعم پیتزا عالی و گرم به دستمون رسید اگه حجمش یه خورده بیشتر بود بهتر میشد","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"سامیار صفاییان","۵","عالی گرم و خوش مزه","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"فرهاد صمدی","۵","همه چی عالی بود، پیتزا گرم و به موقع رسید ممنون از شیلا","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"عطیه غضنفری","۵","ممنون از پیک رستوران که غذا رو سریع و‌گرم بدستم رسوندند.","ساندویچ هات داگ کلاسیک"
"یگانه یگانه وصال","۵","عالی بود ممنونم","پیتزا سوجوک (۳۰ سانتی متری)"
"متین اسدالهی","۵","در کل عالی بود و با کیفیت ممنونم","کمبو یامی"
"erfan shirazi","۵","سلام من با توجه به این که سخت گیر هستم ولی نکته ای نبود که بخوام بهش اشاره کنم همه چیز عالی بود و مهمتر از همه چرب و شور نبود امیدوارم کیفیت رو تو همین لول نگهه دارین ممنون از پرسنل خوب شیلا","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"فروغ ابوعلی","۵","کاملا به موقع رسید و گرم بود، بسیار راضی بودم","پیتزا پپرونی (۳۰ سانتی‌ متری)"
"حامد اسماعیلی","۵","عالی","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"ودود نجفیان","۳","نسبت به قیمت حجم غذا خیلی کم بود.","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"الهام احمدی","۵","بسیار عالی گرم و خوب واقعا ۳۰سانتی برای دو نفر زیاد بود .","پیتزا کویین (۳۰ سانتی‌ متری)"
"avaamorsali  avaa morsali","۵","عالی 
غذا گرم گرم و سریع به دستم رسید","استرامبولی دونر استیک پنیری"
"آرگن شاه ولدیان","۲","پیتزا خمیرش کامل پخته نشده بود و خیلی ترش بود","پیتزا سوجوک (۳۰ سانتی متری)"
"عاطفه نامنی","۵","عالی و خوشمزه بود","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"امیر کمیجانی","۵","کیفیت خوب به همراه کادر آموزش دیده جهت ارتباط با مشتری 
درود بر شما و پشتکارتون","پیتزا مخلوط (۳۰ سانتی‌ متری)"
